step,x,y,theta,v,lateral_error
139,67.3189,3.4996,-0.0174246,15.5864,0.0401034
140,68.0981,3.48584,-0.0252893,15.5887,0.0508275
141,68.8775,3.4802,-0.0242799,15.5907,0.0819381
142,69.657,3.48341,-0.0149839,15.5924,0.0189148
143,70.4366,3.49315,-0.000955137,15.5939,0.0978726
144,71.2162,3.50509,0.0126968,15.5951,0.0312994
145,71.9959,3.5144,0.0212068,15.596,0.0593086
146,72.7757,3.51757,0.0218433,15.5968,0.0733092
147,73.5555,3.51352,0.0147927,15.5974,0.0218128
148,74.3353,3.5039,0.00296093,15.5977,0.105492
149,75.1151,3.4923,-0.00918701,15.598,0.0245357
150,75.895,3.48293,-0.017291,15.598,0.0671812
151,76.6748,3.47905,-0.0186452,15.5979,0.0671776
152,77.4547,3.48181,-0.0130852,15.5977,0.0304336
153,78.2346,3.48998,-0.00292708,15.5974,0.104838
154,79.0144,3.50046,0.00797595,15.5969,0.0160491
155,79.7942,3.50948,0.0156821,15.5963,0.0728989
156,80.574,3.51398,0.0175732,15.5956,0.059795
157,81.3536,3.502,0.00573509,15.5949,0.0538459
158,82.1321,3.45822,-0.0282204,15.594,0.106288
159,82.9076,3.37873,-0.082116,15.5931,0.0578333
160,83.6793,3.26784,-0.13681,15.5921,0.114732
161,84.4471,3.13291,-0.187336,15.591,0.0450895
162,85.212,2.98259,-0.232715,15.5899,0.096185
163,85.9752,2.82398,-0.266577,15.5887,0.0457955
164,86.7376,2.66195,-0.285361,15.5874,0.102787
165,87.4996,2.49812,-0.289984,15.5861,0.0782748
166,88.2607,2.33058,-0.285309,15.5848,0.144881
167,89.02,2.15554,-0.277883,15.5834,0.132462
168,89.7765,1.96908,-0.273662,15.5819,0.186108
169,90.5296,1.76959,-0.275643,15.5805,0.159737
170,91.2796,1.5588,-0.283051,15.579,0.177767
171,92.0276,1.34169,-0.291855,15.5774,0.137919
172,92.776,1.12597,-0.296011,15.5759,0.137506
173,93.527,0.919618,-0.290101,15.5743,0.0939688
174,94.2821,0.729608,-0.270895,15.5727,0.104603
175,95.042,0.55986,-0.238855,15.571,0.0608549
176,95.8063,0.411437,-0.197478,15.5694,0.100957
177,96.574,0.282629,-0.152412,15.5677,0.0359724
178,97.3443,0.171066,-0.109066,15.566,0.106371
179,98.1169,0.0767993,-0.0698551,15.5643,0.0200712
180,98.8912,-0.000403766,-0.0361783,15.5626,0.0773462
181,99.6672,-0.0584606,-0.00670154,15.5609,0.0801056
182,100.444,-0.0938168,0.0215206,15.5592,0.101888
183,101.222,-0.112367,0.0447861,15.5574,0.14205
184,102,-0.124535,0.0568643,15.5557,0.124583
185,102.778,-0.136201,0.0560933,15.5539,0.165405
186,103.555,-0.149366,0.0447097,15.5522,0.152892
187,104.333,-0.16239,0.0280164,15.5504,0.172427
188,105.11,-0.171406,0.0124769,15.5486,0.184554
189,105.888,-0.172368,0.0034686,15.5468,0.173801
190,106.665,-0.162979,0.00351159,15.5451,0.193289
191,107.442,-0.143826,0.011586,15.5433,0.144395
192,108.219,-0.118354,0.023729,15.5415,0.14205
193,108.995,-0.0917621,0.0346401,15.5397,0.10309
194,109.772,-0.0692738,0.0396761,15.5379,0.0823222
195,110.549,-0.0544339,0.0365065,15.5361,0.0977479
196,111.325,-0.048043,0.0258583,15.5343,0.0491032
197,112.102,-0.0480855,0.0111287,15.5326,0.112356
198,112.879,-0.050638,-0.00294099,15.5308,0.056034
199,113.655,-0.0513933,-0.0120111,15.529,0.0849059
200,114.432,-0.0472282,-0.0136669,15.5272,0.0746147
201,115.208,-0.0372623,-0.00818528,15.5254,0.0504794
202,115.984,-0.0230549,0.00169125,15.5236,0.0938758
203,116.76,-0.0079161,0.0118472,15.5219,0.00798927
204,117.536,0.0043772,0.0183218,15.5201,0.0933009
205,118.312,0.010973,0.0187079,15.5183,0.0335361
206,119.088,0.0109422,0.0129295,15.5165,0.0614918
207,119.864,0.00554412,0.00315191,15.5148,0.0644507
208,120.64,-0.00230048,-0.00710248,15.513,0.0282963
209,121.415,-0.00910421,-0.0142783,15.5113,0.0967619
210,122.191,-0.0120578,-0.0160596,15.5095,0.0126349
211,122.966,-0.00997534,-0.0121387,15.5078,0.0894259
212,123.742,-0.00361862,-0.00423308,15.506,0.0355925
213,124.517,0.00468641,0.00462046,15.5043,0.0576404
214,125.292,0.0119687,0.0112072,15.5025,0.0677101
215,126.067,0.0157144,0.0132847,15.5008,0.030683
216,126.842,0.014751,0.0103315,15.4991,0.0987076
217,127.617,0.0096099,0.00364766,15.4973,0.0105782
218,128.392,0.00226301,-0.00419798,15.4956,0.0888887
219,129.167,-0.00464206,-0.0103446,15.4939,0.0351134
