step,x,y,theta,v,lateral_error
137,65.7156,3.41599,0.033477,15.5809,0.0948312
138,66.4946,3.42617,0.0348377,15.5838,0.111763
139,67.2737,3.43838,0.0342655,15.5864,0.061832
140,68.0529,3.45171,0.0320768,15.5887,0.105696
141,68.8322,3.46533,0.0286247,15.5907,0.0487064
142,69.6116,3.47852,0.0242554,15.5924,0.0585579
143,70.3912,3.49068,0.0193287,15.5939,0.074549
144,71.1708,3.50139,0.0141819,15.5951,0.0145958
145,71.9505,3.51033,0.00910754,15.596,0.103458
146,72.7303,3.51733,0.00435322,15.5968,0.0310325
147,73.5101,3.52235,0.000115196,15.5974,0.06642
148,74.2899,3.52545,-0.00347152,15.5977,0.0709512
149,75.0698,3.52677,-0.00632417,15.598,0.0346495
150,75.8497,3.52653,-0.00841282,15.598,0.11006
151,76.6296,3.5249,-0.00979847,15.5979,0.0310839
152,77.4095,3.52173,-0.0108435,15.5977,0.0729348
153,78.1894,3.5164,-0.0121972,15.5974,0.0613898
154,78.9692,3.50779,-0.0147585,15.5969,0.0301571
155,79.7489,3.49445,-0.019446,15.5963,0.0996639
156,80.5285,3.47461,-0.0271382,15.5956,0.0224668
157,81.3077,3.44627,-0.0385115,15.5949,0.0788815
158,82.0865,3.40737,-0.0539863,15.594,0.0499324
159,82.8645,3.35581,-0.0736711,15.5931,0.0533124
160,83.6413,3.28969,-0.0973325,15.5921,0.101939
161,84.4166,3.2073,-0.124442,15.591,0.113376
162,85.1897,3.10738,-0.154168,15.5899,0.176752
163,85.9601,2.98905,-0.185488,15.5887,0.198555
164,86.7274,2.85204,-0.217188,15.5874,0.248498
165,87.4911,2.69665,-0.24801,15.5861,0.268955
166,88.251,2.52381,-0.27664,15.5848,0.296558
167,89.007,2.33501,-0.301866,15.5834,0.307308
168,89.7593,2.13236,-0.322555,15.5819,0.30861
169,90.5084,1.91842,-0.337788,15.5805,0.306043
170,91.2551,1.6962,-0.346825,15.579,0.280768
171,92.0002,1.46901,-0.349194,15.5774,0.265768
172,92.7448,1.24045,-0.34464,15.5759,0.21628
173,93.49,1.01424,-0.333163,15.5743,0.194143
174,94.237,0.794215,-0.314956,15.5727,0.123817
175,94.9867,0.584195,-0.290408,15.571,0.10964
176,95.7401,0.387947,-0.260049,15.5694,0.0310634
177,96.4978,0.209267,-0.224397,15.5677,0.0882466
178,97.2599,0.0511974,-0.184461,15.566,0.116277
179,98.0264,-0.0840513,-0.141658,15.5643,0.176364
180,98.7966,-0.195017,-0.0975843,15.5626,0.233875
181,99.5699,-0.281158,-0.0539901,15.5609,0.288057
182,100.345,-0.34271,-0.0125484,15.5592,0.351555
